id,team_id,name,year,start_date,end_date,location,league_name,organizer
1,1,Spring,2026,2026-05-03,2026-06-21,De La Salle College,Mixed Ultimate - Outdoor Turf 5s,Jam
2,2,Summer,2026,,,De La Salle College,Mixed Ultimate - Outdoor Turf 5s (De La Salle College),Jam
